「ローマ人の物語」スペシャル・ガイドブック,BOOKOFF,2025/10/10,2025/10/13,4
砂糖の世界史,Audible,2025/10/16,2025/10/17,2
自分の頭で考える日本の論点,Audible,2025/10/17,中止,1
30ポイントで読み解く「ローマ帝国衰亡史」,BOOKOFF,2025/10/22,2025/11/08,4
俺たちの箱根駅伝（上）,Audible,2025/10/22,2025/10/25,5
俺たちの箱根駅伝（下）,Audible,2025/10/25,2025/10/28,4
近代日本と軍部,Audible,2025/10/29,2025/11/10,3
日雇い浪人生活録（6）金の裏表,Audible,2025/11/11,2025/11/12,3
世界一シンプルな進化論講義 生命・ヒト・生物--進化をめぐる6つの問い,Audible,2025/11/13,2025/11/15,3
世界地図のすごい読み方,Audible,2025/11/15,2025/11/17,3
教養としての「ローマ史」の読み方,Audible,2025/11/17,2025/11/22,5
ローマ人の物語Ⅻ 迷走する帝国,BOOKOFF,2025/11/18,2025/12/02,3
この日本で生きる君が知っておくべき「戦後史の学び方」,Audible,2025/11/22,2025/11/24,3
教養としての「世界史」の読み方,Audible,2025/11/25,2025/11/28,3
歴史と人口から読み解く東南アジア,Audible,2025/11/28,2025/12/01,4
本と鍵の季節,Audible,2025/12/01,2025/12/02,4
栞と嘘の季節,Audible,2025/12/02,2025/12/05,4
ローマ人の物語13最後の努力,BOOKOFF,2025/12/02,2025/12/21,4
ブレイクショットの軌跡,Audible,2025/12/05,中止,
いっきに学び直す日本史古代・中世・近世教養編,Audible,2025/12/09,2025/12/15,3
いっきに学び直す日本史近代・現代実用編,Audible,2025/12/16,2025/12/26,2
ローマ人の物語14キリストの勝利,BOOKOFF,2025/12/21,2026/01/04,4
トヨトミの世襲,Audible,2025/12/26,2026/01/03,5
謎の香りはパン屋から,Audible,2026/01/03,2026/01/07,4
ローマ人の物語15ローマ世界の終焉,BOOKOFF,2026/01/04,2026/01/21,4
太平洋戦争,Audible,2026/01/08,2026/01/11,3
ミス・パーフェクトが行く！,Audible,2026/01/12,2026/01/14,4
闘え！ミス・パーフェクト,Audible,2026/01/15,2026/01/20,4
ミス・パーフェクトの憂鬱,Audible,2026/01/20,2026/01/23,4
海の都の物語1,BOOKOFF,2026/01/23,2026/01/30,4
進化という迷宮 隠れた「調律者」を追え,Audible,2026/01/25,中止,1
日本海軍失敗の本質,BOOKOFF,2026/01/27,2026/01/28,5
中華王朝滅びの法則 そして習近平は！,Audible,2026/01/28,2026/01/30,3
オスマン帝国全史「崇高なる国家」の物語 1299-1922,Audible,2026/01/30,中止,1
日雇い浪人生活録7金の記憶,Audible,2026/02/01,2026/02/02,3
海の都の物語2,BOOKOFF,2026/01/30,2026/02/02,2
架空の犬と嘘をつく猫,Audible,2026/02/03,中止,1
始皇帝の戦争と将軍たち 秦の中華統一を支えた近臣軍団,Audible,2026/02/03,中止,2
リンカン「合衆国市民」の創造者,Audible,2026/02/03,中止,1
情報戦の日本史,Audible,2026/02/04,2026/02/06,2
秘色の契り阿波宝暦明和の変顛末譚,Audible,2026/02/07,2026/02/12,3
言い訳 関東芸人はなぜM-1で勝てないのか,BOOKOFF,2026/02/08,2026/02/08,3
海の都の物語3,BOOKOFF,2026/02/02,2026/02/08,3
海の都の物語4,BOOKOFF,2026/02/09,2026/02/19,4
笑い神 M-1 その純情と狂気,石橋図書館,2026/02/10,2026/02/11,3
なぜ働いていると本が読めなくなるのか,Audible,2026/02/14,2026/02/16,3
木挽町の仇討ち,Audible,2026/02/16,中止,2
ポピュリズム,Audible,2026/02/18,2026/02/23,4
海の都の物語5,BOOKOFF,2026/02/19,,
生命とは何か,Audible,2026/02/24,2026/02/26,2
朝鮮属国史 中国が支配した2000年,Audible,2026/02/26,2026/02/27,4
経済で読み解く世界史,Audible,26-02-27,2026-03-02,5
海の都の物語5,BOOKOFF,26-02-19,2026-03-04,4
ぼくはこんなふうに本を読んできた,Audible,2026-03-02,2026-03-06,5
ルポ トランプ王国,石橋,26-03-06,2026-03-10,3
昭和16年夏の敗戦,Audible,2026-03-06,2026-03-11,4
教養としてのヨーロッパ史,桜ヶ丘,2026-03-10,中止,1
オブジェクト指向でなぜつくるのか,石橋,2026-03-11,2026-03-11,0
遺伝子とは何か,Audible,2026-03-11,2026-03-13,4
海の都の物語6,BOOKOFF,2026-03-11,2026-03-14,4
みんなの高校地学,Audible,2026-03-13,2026-03-16,5
考察する若者たち,Audible,2026-03-16,2026-03-17,3
ローマ亡き後の地中海世界1,BOOKOFF,2026-03-16,2026-03-20,4
ムッソリーニの正体,Audible,2026-03-17,2026-03-22,3
日雇い浪人生活録(八)	金の悪夢,Audible,2026-03-22,2026-03-24,3
後悔病棟,Audible,2026-03-24,中止,1
ローマ亡き後の地中海世界2,BOOKOFF,2026-03-20,2026-03-24,0
火喰鳥,Audible,2026-03-24,2026-03-29,4
夜哭鳥,Audible,2026-03-29,2026-04-01,3
FEAR恐怖の男,石橋,2026-03-24,中止,1
ほんとうの中国,Audible,2026-04-02,2026-04-03,3
人よ、花よ、（上）,Audible,2026-04-06,2026-04-10,5
